Schuljahr;Schulart;Schulabschluss;Geschlecht;Anzahl
2009/10;Hauptschulen;Ohne Ersten Schulabschluss;männlich;8261
2009/10;Hauptschulen;Erster Schulabschluss;männlich;66891
2009/10;Hauptschulen;Mittlerer Schulabschluss;männlich;22318
2009/10;Hauptschulen;Fachhochschulreife;männlich;0
2009/10;Hauptschulen;Allgemeine Hochschulreife;männlich;0
2009/10;Hauptschulen;Insgesamt;männlich;97470
2009/10;Schularten mit zwei Bildungsgängen;Ohne Ersten Schulabschluss;männlich;1984
2009/10;Schularten mit zwei Bildungsgängen;Erster Schulabschluss;männlich;8728
2009/10;Schularten mit zwei Bildungsgängen;Mittlerer Schulabschluss;männlich;19444
2009/10;Schularten mit zwei Bildungsgängen;Fachhochschulreife;männlich;0
2009/10;Schularten mit zwei Bildungsgängen;Allgemeine Hochschulreife;männlich;0
2009/10;Schularten mit zwei Bildungsgängen;Insgesamt;männlich;30156
2009/10;Realschulen;Ohne Ersten Schulabschluss;männlich;1588
2009/10;Realschulen;Erster Schulabschluss;männlich;5202
2009/10;Realschulen;Mittlerer Schulabschluss;männlich;99577
2009/10;Realschulen;Fachhochschulreife;männlich;0
2009/10;Realschulen;Allgemeine Hochschulreife;männlich;0
2009/10;Realschulen;Insgesamt;männlich;106367
2009/10;Gymnasien (G9);Ohne Ersten Schulabschluss;männlich;23
2009/10;Gymnasien (G9);Erster Schulabschluss;männlich;405
2009/10;Gymnasien (G9);Mittlerer Schulabschluss;männlich;8951
2009/10;Gymnasien (G9);Fachhochschulreife;männlich;3569
2009/10;Gymnasien (G9);Allgemeine Hochschulreife;männlich;94013
2009/10;Gymnasien (G9);Insgesamt;männlich;106961
2009/10;Gymnasien (G8);Ohne Ersten Schulabschluss;männlich;332
2009/10;Gymnasien (G8);Erster Schulabschluss;männlich;1915
2009/10;Gymnasien (G8);Mittlerer Schulabschluss;männlich;3860
2009/10;Gymnasien (G8);Fachhochschulreife;männlich;416
2009/10;Gymnasien (G8);Allgemeine Hochschulreife;männlich;11974
2009/10;Gymnasien (G8);Insgesamt;männlich;18497
2009/10;Schularten mit drei Bildungsgängen;Ohne Ersten Schulabschluss;männlich;1571
2009/10;Schularten mit drei Bildungsgängen;Erster Schulabschluss;männlich;9974
2009/10;Schularten mit drei Bildungsgängen;Mittlerer Schulabschluss;männlich;17111
2009/10;Schularten mit drei Bildungsgängen;Fachhochschulreife;männlich;1115
2009/10;Schularten mit drei Bildungsgängen;Allgemeine Hochschulreife;männlich;9131
2009/10;Schularten mit drei Bildungsgängen;Insgesamt;männlich;38902
2009/10;Freie Waldorfschulen;Ohne Ersten Schulabschluss;männlich;83
2009/10;Freie Waldorfschulen;Erster Schulabschluss;männlich;190
2009/10;Freie Waldorfschulen;Mittlerer Schulabschluss;männlich;900
2009/10;Freie Waldorfschulen;Fachhochschulreife;männlich;226
2009/10;Freie Waldorfschulen;Allgemeine Hochschulreife;männlich;1229
2009/10;Freie Waldorfschulen;Insgesamt;männlich;2628
2009/10;Förderschulen;Ohne Ersten Schulabschluss;männlich;18509
2009/10;Förderschulen;Erster Schulabschluss;männlich;5775
2009/10;Förderschulen;Mittlerer Schulabschluss;männlich;538
2009/10;Förderschulen;Fachhochschulreife;männlich;1
2009/10;Förderschulen;Allgemeine Hochschulreife;männlich;31
2009/10;Förderschulen;Insgesamt;männlich;24854
2009/10;Abendhauptschulen;Ohne Ersten Schulabschluss;männlich;0
2009/10;Abendhauptschulen;Erster Schulabschluss;männlich;219
2009/10;Abendhauptschulen;Mittlerer Schulabschluss;männlich;0
2009/10;Abendhauptschulen;Fachhochschulreife;männlich;0
2009/10;Abendhauptschulen;Allgemeine Hochschulreife;männlich;0
2009/10;Abendhauptschulen;Insgesamt;männlich;219
2009/10;Abendrealschulen;Ohne Ersten Schulabschluss;männlich;0
2009/10;Abendrealschulen;Erster Schulabschluss;männlich;940
2009/10;Abendrealschulen;Mittlerer Schulabschluss;männlich;2597
2009/10;Abendrealschulen;Fachhochschulreife;männlich;1
2009/10;Abendrealschulen;Allgemeine Hochschulreife;männlich;0
2009/10;Abendrealschulen;Insgesamt;männlich;3538
2009/10;Abendgymnasien;Ohne Ersten Schulabschluss;männlich;0
2009/10;Abendgymnasien;Erster Schulabschluss;männlich;2
2009/10;Abendgymnasien;Mittlerer Schulabschluss;männlich;66
2009/10;Abendgymnasien;Fachhochschulreife;männlich;570
2009/10;Abendgymnasien;Allgemeine Hochschulreife;männlich;1103
2009/10;Abendgymnasien;Insgesamt;männlich;1741
2009/10;Kollegs;Ohne Ersten Schulabschluss;männlich;0
2009/10;Kollegs;Erster Schulabschluss;männlich;1
2009/10;Kollegs;Mittlerer Schulabschluss;männlich;66
2009/10;Kollegs;Fachhochschulreife;männlich;436
2009/10;Kollegs;Allgemeine Hochschulreife;männlich;1467
2009/10;Kollegs;Insgesamt;männlich;1970
2009/10;Externe;Ohne Ersten Schulabschluss;männlich;0
2009/10;Externe;Erster Schulabschluss;männlich;3662
2009/10;Externe;Mittlerer Schulabschluss;männlich;997
2009/10;Externe;Fachhochschulreife;männlich;72
2009/10;Externe;Allgemeine Hochschulreife;männlich;170
2009/10;Externe;Insgesamt;männlich;4901
2009/10;Insgesamt;Ohne Ersten Schulabschluss;männlich;32351
2009/10;Insgesamt;Erster Schulabschluss;männlich;103904
2009/10;Insgesamt;Mittlerer Schulabschluss;männlich;176425
2009/10;Insgesamt;Fachhochschulreife;männlich;6406
2009/10;Insgesamt;Allgemeine Hochschulreife;männlich;119118
2009/10;Insgesamt;Insgesamt;männlich;438204
2009/10;Hauptschulen;Ohne Ersten Schulabschluss;weiblich;5113
2009/10;Hauptschulen;Erster Schulabschluss;weiblich;49465
2009/10;Hauptschulen;Mittlerer Schulabschluss;weiblich;19835
2009/10;Hauptschulen;Fachhochschulreife;weiblich;0
2009/10;Hauptschulen;Allgemeine Hochschulreife;weiblich;0
2009/10;Hauptschulen;Insgesamt;weiblich;74413
2009/10;Schularten mit zwei Bildungsgängen;Ohne Ersten Schulabschluss;weiblich;1267
2009/10;Schularten mit zwei Bildungsgängen;Erster Schulabschluss;weiblich;6214
2009/10;Schularten mit zwei Bildungsgängen;Mittlerer Schulabschluss;weiblich;18720
2009/10;Schularten mit zwei Bildungsgängen;Fachhochschulreife;weiblich;0
2009/10;Schularten mit zwei Bildungsgängen;Allgemeine Hochschulreife;weiblich;0
2009/10;Schularten mit zwei Bildungsgängen;Insgesamt;weiblich;26201
2009/10;Realschulen;Ohne Ersten Schulabschluss;weiblich;1002
2009/10;Realschulen;Erster Schulabschluss;weiblich;3704
2009/10;Realschulen;Mittlerer Schulabschluss;weiblich;101665
2009/10;Realschulen;Fachhochschulreife;weiblich;0
2009/10;Realschulen;Allgemeine Hochschulreife;weiblich;0
2009/10;Realschulen;Insgesamt;weiblich;106371
2009/10;Gymnasien (G9);Ohne Ersten Schulabschluss;weiblich;23
2009/10;Gymnasien (G9);Erster Schulabschluss;weiblich;367
2009/10;Gymnasien (G9);Mittlerer Schulabschluss;weiblich;9022
2009/10;Gymnasien (G9);Fachhochschulreife;weiblich;4024
2009/10;Gymnasien (G9);Allgemeine Hochschulreife;weiblich;118375
2009/10;Gymnasien (G9);Insgesamt;weiblich;131811
2009/10;Gymnasien (G8);Ohne Ersten Schulabschluss;weiblich;246
2009/10;Gymnasien (G8);Erster Schulabschluss;weiblich;1644
2009/10;Gymnasien (G8);Mittlerer Schulabschluss;weiblich;4205
2009/10;Gymnasien (G8);Fachhochschulreife;weiblich;483
2009/10;Gymnasien (G8);Allgemeine Hochschulreife;weiblich;14685
2009/10;Gymnasien (G8);Insgesamt;weiblich;21263
2009/10;Schularten mit drei Bildungsgängen;Ohne Ersten Schulabschluss;weiblich;1176
2009/10;Schularten mit drei Bildungsgängen;Erster Schulabschluss;weiblich;7966
2009/10;Schularten mit drei Bildungsgängen;Mittlerer Schulabschluss;weiblich;16663
2009/10;Schularten mit drei Bildungsgängen;Fachhochschulreife;weiblich;1323
2009/10;Schularten mit drei Bildungsgängen;Allgemeine Hochschulreife;weiblich;11157
2009/10;Schularten mit drei Bildungsgängen;Insgesamt;weiblich;38285
2009/10;Freie Waldorfschulen;Ohne Ersten Schulabschluss;weiblich;87
2009/10;Freie Waldorfschulen;Erster Schulabschluss;weiblich;140
2009/10;Freie Waldorfschulen;Mittlerer Schulabschluss;weiblich;863
2009/10;Freie Waldorfschulen;Fachhochschulreife;weiblich;224
2009/10;Freie Waldorfschulen;Allgemeine Hochschulreife;weiblich;1600
2009/10;Freie Waldorfschulen;Insgesamt;weiblich;2914
2009/10;Förderschulen;Ohne Ersten Schulabschluss;weiblich;11793
2009/10;Förderschulen;Erster Schulabschluss;weiblich;3122
2009/10;Förderschulen;Mittlerer Schulabschluss;weiblich;355
2009/10;Förderschulen;Fachhochschulreife;weiblich;3
2009/10;Förderschulen;Allgemeine Hochschulreife;weiblich;37
2009/10;Förderschulen;Insgesamt;weiblich;15310
2009/10;Abendhauptschulen;Ohne Ersten Schulabschluss;weiblich;0
2009/10;Abendhauptschulen;Erster Schulabschluss;weiblich;191
2009/10;Abendhauptschulen;Mittlerer Schulabschluss;weiblich;0
2009/10;Abendhauptschulen;Fachhochschulreife;weiblich;0
2009/10;Abendhauptschulen;Allgemeine Hochschulreife;weiblich;0
2009/10;Abendhauptschulen;Insgesamt;weiblich;191
2009/10;Abendrealschulen;Ohne Ersten Schulabschluss;weiblich;0
2009/10;Abendrealschulen;Erster Schulabschluss;weiblich;762
2009/10;Abendrealschulen;Mittlerer Schulabschluss;weiblich;2309
2009/10;Abendrealschulen;Fachhochschulreife;weiblich;3
2009/10;Abendrealschulen;Allgemeine Hochschulreife;weiblich;0
2009/10;Abendrealschulen;Insgesamt;weiblich;3074
2009/10;Abendgymnasien;Ohne Ersten Schulabschluss;weiblich;0
2009/10;Abendgymnasien;Erster Schulabschluss;weiblich;2
2009/10;Abendgymnasien;Mittlerer Schulabschluss;weiblich;57
2009/10;Abendgymnasien;Fachhochschulreife;weiblich;512
2009/10;Abendgymnasien;Allgemeine Hochschulreife;weiblich;1466
2009/10;Abendgymnasien;Insgesamt;weiblich;2037
2009/10;Kollegs;Ohne Ersten Schulabschluss;weiblich;0
2009/10;Kollegs;Erster Schulabschluss;weiblich;0
2009/10;Kollegs;Mittlerer Schulabschluss;weiblich;65
2009/10;Kollegs;Fachhochschulreife;weiblich;399
2009/10;Kollegs;Allgemeine Hochschulreife;weiblich;1582
2009/10;Kollegs;Insgesamt;weiblich;2046
2009/10;Externe;Ohne Ersten Schulabschluss;weiblich;0
2009/10;Externe;Erster Schulabschluss;weiblich;2272
2009/10;Externe;Mittlerer Schulabschluss;weiblich;672
2009/10;Externe;Fachhochschulreife;weiblich;78
2009/10;Externe;Allgemeine Hochschulreife;weiblich;174
2009/10;Externe;Insgesamt;weiblich;3196
2009/10;Insgesamt;Ohne Ersten Schulabschluss;weiblich;20707
2009/10;Insgesamt;Erster Schulabschluss;weiblich;75849
2009/10;Insgesamt;Mittlerer Schulabschluss;weiblich;174431
2009/10;Insgesamt;Fachhochschulreife;weiblich;7049
2009/10;Insgesamt;Allgemeine Hochschulreife;weiblich;149076
2009/10;Insgesamt;Insgesamt;weiblich;427112
2009/10;Hauptschulen;Ohne Ersten Schulabschluss;Insgesamt;13374
2009/10;Hauptschulen;Erster Schulabschluss;Insgesamt;116356
2009/10;Hauptschulen;Mittlerer Schulabschluss;Insgesamt;42153
2009/10;Hauptschulen;Fachhochschulreife;Insgesamt;0
2009/10;Hauptschulen;Allgemeine Hochschulreife;Insgesamt;0
2009/10;Hauptschulen;Insgesamt;Insgesamt;171883
2009/10;Schularten mit zwei Bildungsgängen;Ohne Ersten Schulabschluss;Insgesamt;3251
2009/10;Schularten mit zwei Bildungsgängen;Erster Schulabschluss;Insgesamt;14942
2009/10;Schularten mit zwei Bildungsgängen;Mittlerer Schulabschluss;Insgesamt;38164
2009/10;Schularten mit zwei Bildungsgängen;Fachhochschulreife;Insgesamt;0
2009/10;Schularten mit zwei Bildungsgängen;Allgemeine Hochschulreife;Insgesamt;0
2009/10;Schularten mit zwei Bildungsgängen;Insgesamt;Insgesamt;56357
2009/10;Realschulen;Ohne Ersten Schulabschluss;Insgesamt;2590
2009/10;Realschulen;Erster Schulabschluss;Insgesamt;8906
2009/10;Realschulen;Mittlerer Schulabschluss;Insgesamt;201242
2009/10;Realschulen;Fachhochschulreife;Insgesamt;0
2009/10;Realschulen;Allgemeine Hochschulreife;Insgesamt;0
2009/10;Realschulen;Insgesamt;Insgesamt;212738
2009/10;Gymnasien (G9);Ohne Ersten Schulabschluss;Insgesamt;46
2009/10;Gymnasien (G9);Erster Schulabschluss;Insgesamt;772
2009/10;Gymnasien (G9);Mittlerer Schulabschluss;Insgesamt;17973
2009/10;Gymnasien (G9);Fachhochschulreife;Insgesamt;7593
2009/10;Gymnasien (G9);Allgemeine Hochschulreife;Insgesamt;212388
2009/10;Gymnasien (G9);Insgesamt;Insgesamt;238772
2009/10;Gymnasien (G8);Ohne Ersten Schulabschluss;Insgesamt;578
2009/10;Gymnasien (G8);Erster Schulabschluss;Insgesamt;3559
2009/10;Gymnasien (G8);Mittlerer Schulabschluss;Insgesamt;8065
2009/10;Gymnasien (G8);Fachhochschulreife;Insgesamt;899
2009/10;Gymnasien (G8);Allgemeine Hochschulreife;Insgesamt;26659
2009/10;Gymnasien (G8);Insgesamt;Insgesamt;39760
2009/10;Schularten mit drei Bildungsgängen;Ohne Ersten Schulabschluss;Insgesamt;2747
2009/10;Schularten mit drei Bildungsgängen;Erster Schulabschluss;Insgesamt;17940
2009/10;Schularten mit drei Bildungsgängen;Mittlerer Schulabschluss;Insgesamt;33774
2009/10;Schularten mit drei Bildungsgängen;Fachhochschulreife;Insgesamt;2438
2009/10;Schularten mit drei Bildungsgängen;Allgemeine Hochschulreife;Insgesamt;20288
2009/10;Schularten mit drei Bildungsgängen;Insgesamt;Insgesamt;77187
2009/10;Freie Waldorfschulen;Ohne Ersten Schulabschluss;Insgesamt;170
2009/10;Freie Waldorfschulen;Erster Schulabschluss;Insgesamt;330
2009/10;Freie Waldorfschulen;Mittlerer Schulabschluss;Insgesamt;1763
2009/10;Freie Waldorfschulen;Fachhochschulreife;Insgesamt;450
2009/10;Freie Waldorfschulen;Allgemeine Hochschulreife;Insgesamt;2829
2009/10;Freie Waldorfschulen;Insgesamt;Insgesamt;5542
2009/10;Förderschulen;Ohne Ersten Schulabschluss;Insgesamt;30302
2009/10;Förderschulen;Erster Schulabschluss;Insgesamt;8897
2009/10;Förderschulen;Mittlerer Schulabschluss;Insgesamt;893
2009/10;Förderschulen;Fachhochschulreife;Insgesamt;4
2009/10;Förderschulen;Allgemeine Hochschulreife;Insgesamt;68
2009/10;Förderschulen;Insgesamt;Insgesamt;40164
2009/10;Abendhauptschulen;Ohne Ersten Schulabschluss;Insgesamt;0
2009/10;Abendhauptschulen;Erster Schulabschluss;Insgesamt;410
2009/10;Abendhauptschulen;Mittlerer Schulabschluss;Insgesamt;0
2009/10;Abendhauptschulen;Fachhochschulreife;Insgesamt;0
2009/10;Abendhauptschulen;Allgemeine Hochschulreife;Insgesamt;0
2009/10;Abendhauptschulen;Insgesamt;Insgesamt;410
2009/10;Abendrealschulen;Ohne Ersten Schulabschluss;Insgesamt;0
2009/10;Abendrealschulen;Erster Schulabschluss;Insgesamt;1702
2009/10;Abendrealschulen;Mittlerer Schulabschluss;Insgesamt;4906
2009/10;Abendrealschulen;Fachhochschulreife;Insgesamt;4
2009/10;Abendrealschulen;Allgemeine Hochschulreife;Insgesamt;0
2009/10;Abendrealschulen;Insgesamt;Insgesamt;6612
2009/10;Abendgymnasien;Ohne Ersten Schulabschluss;Insgesamt;0
2009/10;Abendgymnasien;Erster Schulabschluss;Insgesamt;4
2009/10;Abendgymnasien;Mittlerer Schulabschluss;Insgesamt;123
2009/10;Abendgymnasien;Fachhochschulreife;Insgesamt;1082
2009/10;Abendgymnasien;Allgemeine Hochschulreife;Insgesamt;2569
2009/10;Abendgymnasien;Insgesamt;Insgesamt;3778
2009/10;Kollegs;Ohne Ersten Schulabschluss;Insgesamt;0
2009/10;Kollegs;Erster Schulabschluss;Insgesamt;1
2009/10;Kollegs;Mittlerer Schulabschluss;Insgesamt;131
2009/10;Kollegs;Fachhochschulreife;Insgesamt;835
2009/10;Kollegs;Allgemeine Hochschulreife;Insgesamt;3049
2009/10;Kollegs;Insgesamt;Insgesamt;4016
2009/10;Externe;Ohne Ersten Schulabschluss;Insgesamt;0
2009/10;Externe;Erster Schulabschluss;Insgesamt;5934
2009/10;Externe;Mittlerer Schulabschluss;Insgesamt;1669
2009/10;Externe;Fachhochschulreife;Insgesamt;150
2009/10;Externe;Allgemeine Hochschulreife;Insgesamt;344
2009/10;Externe;Insgesamt;Insgesamt;8097
2009/10;Insgesamt;Ohne Ersten Schulabschluss;Insgesamt;53058
2009/10;Insgesamt;Erster Schulabschluss;Insgesamt;179753
2009/10;Insgesamt;Mittlerer Schulabschluss;Insgesamt;350856
2009/10;Insgesamt;Fachhochschulreife;Insgesamt;13455
2009/10;Insgesamt;Allgemeine Hochschulreife;Insgesamt;268194
2009/10;Insgesamt;Insgesamt;Insgesamt;865316
2010/11;Hauptschulen;Ohne Ersten Schulabschluss;männlich;6988
2010/11;Hauptschulen;Erster Schulabschluss;männlich;59383
2010/11;Hauptschulen;Mittlerer Schulabschluss;männlich;21902
2010/11;Hauptschulen;Fachhochschulreife;männlich;0
2010/11;Hauptschulen;Allgemeine Hochschulreife;männlich;0
2010/11;Hauptschulen;Insgesamt;männlich;88273
2010/11;Schularten mit zwei Bildungsgängen;Ohne Ersten Schulabschluss;männlich;2092
2010/11;Schularten mit zwei Bildungsgängen;Erster Schulabschluss;männlich;9836
2010/11;Schularten mit zwei Bildungsgängen;Mittlerer Schulabschluss;männlich;20789
2010/11;Schularten mit zwei Bildungsgängen;Fachhochschulreife;männlich;0
2010/11;Schularten mit zwei Bildungsgängen;Allgemeine Hochschulreife;männlich;0
2010/11;Schularten mit zwei Bildungsgängen;Insgesamt;männlich;32717
2010/11;Realschulen;Ohne Ersten Schulabschluss;männlich;1363
2010/11;Realschulen;Erster Schulabschluss;männlich;4848
2010/11;Realschulen;Mittlerer Schulabschluss;männlich;94348
2010/11;Realschulen;Fachhochschulreife;männlich;0
2010/11;Realschulen;Allgemeine Hochschulreife;männlich;0
2010/11;Realschulen;Insgesamt;männlich;100559
2010/11;Gymnasien (G9);Ohne Ersten Schulabschluss;männlich;24
2010/11;Gymnasien (G9);Erster Schulabschluss;männlich;276
2010/11;Gymnasien (G9);Mittlerer Schulabschluss;männlich;5247
2010/11;Gymnasien (G9);Fachhochschulreife;männlich;3100
2010/11;Gymnasien (G9);Allgemeine Hochschulreife;männlich;93038
2010/11;Gymnasien (G9);Insgesamt;männlich;101685
2010/11;Gymnasien (G8);Ohne Ersten Schulabschluss;männlich;429
2010/11;Gymnasien (G8);Erster Schulabschluss;männlich;2659
2010/11;Gymnasien (G8);Mittlerer Schulabschluss;männlich;6252
2010/11;Gymnasien (G8);Fachhochschulreife;männlich;1034
2010/11;Gymnasien (G8);Allgemeine Hochschulreife;männlich;32510
2010/11;Gymnasien (G8);Insgesamt;männlich;42884
2010/11;Schularten mit drei Bildungsgängen;Ohne Ersten Schulabschluss;männlich;1481
2010/11;Schularten mit drei Bildungsgängen;Erster Schulabschluss;männlich;10080
2010/11;Schularten mit drei Bildungsgängen;Mittlerer Schulabschluss;männlich;18052
2010/11;Schularten mit drei Bildungsgängen;Fachhochschulreife;männlich;1078
2010/11;Schularten mit drei Bildungsgängen;Allgemeine Hochschulreife;männlich;9390
2010/11;Schularten mit drei Bildungsgängen;Insgesamt;männlich;40081
2010/11;Freie Waldorfschulen;Ohne Ersten Schulabschluss;männlich;95
2010/11;Freie Waldorfschulen;Erster Schulabschluss;männlich;228
2010/11;Freie Waldorfschulen;Mittlerer Schulabschluss;männlich;938
2010/11;Freie Waldorfschulen;Fachhochschulreife;männlich;174
2010/11;Freie Waldorfschulen;Allgemeine Hochschulreife;männlich;1269
2010/11;Freie Waldorfschulen;Insgesamt;männlich;2704
2010/11;Förderschulen;Ohne Ersten Schulabschluss;männlich;17402
2010/11;Förderschulen;Erster Schulabschluss;männlich;5770
2010/11;Förderschulen;Mittlerer Schulabschluss;männlich;634
2010/11;Förderschulen;Fachhochschulreife;männlich;6
2010/11;Förderschulen;Allgemeine Hochschulreife;männlich;36
2010/11;Förderschulen;Insgesamt;männlich;23848
2010/11;Abendhauptschulen;Ohne Ersten Schulabschluss;männlich;0
2010/11;Abendhauptschulen;Erster Schulabschluss;männlich;253
2010/11;Abendhauptschulen;Mittlerer Schulabschluss;männlich;0
2010/11;Abendhauptschulen;Fachhochschulreife;männlich;0
2010/11;Abendhauptschulen;Allgemeine Hochschulreife;männlich;0
2010/11;Abendhauptschulen;Insgesamt;männlich;253
2010/11;Abendrealschulen;Ohne Ersten Schulabschluss;männlich;0
2010/11;Abendrealschulen;Erster Schulabschluss;männlich;938
2010/11;Abendrealschulen;Mittlerer Schulabschluss;männlich;2789
2010/11;Abendrealschulen;Fachhochschulreife;männlich;8
2010/11;Abendrealschulen;Allgemeine Hochschulreife;männlich;0
2010/11;Abendrealschulen;Insgesamt;männlich;3735
2010/11;Abendgymnasien;Ohne Ersten Schulabschluss;männlich;0
2010/11;Abendgymnasien;Erster Schulabschluss;männlich;0
2010/11;Abendgymnasien;Mittlerer Schulabschluss;männlich;58
2010/11;Abendgymnasien;Fachhochschulreife;männlich;549
2010/11;Abendgymnasien;Allgemeine Hochschulreife;männlich;1124
2010/11;Abendgymnasien;Insgesamt;männlich;1731
2010/11;Kollegs;Ohne Ersten Schulabschluss;männlich;0
2010/11;Kollegs;Erster Schulabschluss;männlich;7
2010/11;Kollegs;Mittlerer Schulabschluss;männlich;105
2010/11;Kollegs;Fachhochschulreife;männlich;517
2010/11;Kollegs;Allgemeine Hochschulreife;männlich;1437
2010/11;Kollegs;Insgesamt;männlich;2066
2010/11;Externe;Ohne Ersten Schulabschluss;männlich;0
2010/11;Externe;Erster Schulabschluss;männlich;3317
2010/11;Externe;Mittlerer Schulabschluss;männlich;934
2010/11;Externe;Fachhochschulreife;männlich;59
2010/11;Externe;Allgemeine Hochschulreife;männlich;162
2010/11;Externe;Insgesamt;männlich;4472
2010/11;Insgesamt;Ohne Ersten Schulabschluss;männlich;29874
2010/11;Insgesamt;Erster Schulabschluss;männlich;97595
2010/11;Insgesamt;Mittlerer Schulabschluss;männlich;172048
2010/11;Insgesamt;Fachhochschulreife;männlich;6525
2010/11;Insgesamt;Allgemeine Hochschulreife;männlich;138966
2010/11;Insgesamt;Insgesamt;männlich;445008
2010/11;Hauptschulen;Ohne Ersten Schulabschluss;weiblich;4545
2010/11;Hauptschulen;Erster Schulabschluss;weiblich;43990
2010/11;Hauptschulen;Mittlerer Schulabschluss;weiblich;19333
2010/11;Hauptschulen;Fachhochschulreife;weiblich;0
2010/11;Hauptschulen;Allgemeine Hochschulreife;weiblich;0
2010/11;Hauptschulen;Insgesamt;weiblich;67868
2010/11;Schularten mit zwei Bildungsgängen;Ohne Ersten Schulabschluss;weiblich;1309
2010/11;Schularten mit zwei Bildungsgängen;Erster Schulabschluss;weiblich;6797
2010/11;Schularten mit zwei Bildungsgängen;Mittlerer Schulabschluss;weiblich;19632
2010/11;Schularten mit zwei Bildungsgängen;Fachhochschulreife;weiblich;0
2010/11;Schularten mit zwei Bildungsgängen;Allgemeine Hochschulreife;weiblich;0
2010/11;Schularten mit zwei Bildungsgängen;Insgesamt;weiblich;27738
2010/11;Realschulen;Ohne Ersten Schulabschluss;weiblich;935
2010/11;Realschulen;Erster Schulabschluss;weiblich;3448
2010/11;Realschulen;Mittlerer Schulabschluss;weiblich;95705
2010/11;Realschulen;Fachhochschulreife;weiblich;0
2010/11;Realschulen;Allgemeine Hochschulreife;weiblich;0
2010/11;Realschulen;Insgesamt;weiblich;100088
2010/11;Gymnasien (G9);Ohne Ersten Schulabschluss;weiblich;12
2010/11;Gymnasien (G9);Erster Schulabschluss;weiblich;263
2010/11;Gymnasien (G9);Mittlerer Schulabschluss;weiblich;5119
2010/11;Gymnasien (G9);Fachhochschulreife;weiblich;3538
2010/11;Gymnasien (G9);Allgemeine Hochschulreife;weiblich;114851
2010/11;Gymnasien (G9);Insgesamt;weiblich;123783
2010/11;Gymnasien (G8);Ohne Ersten Schulabschluss;weiblich;308
2010/11;Gymnasien (G8);Erster Schulabschluss;weiblich;2103
2010/11;Gymnasien (G8);Mittlerer Schulabschluss;weiblich;6451
2010/11;Gymnasien (G8);Fachhochschulreife;weiblich;1124
2010/11;Gymnasien (G8);Allgemeine Hochschulreife;weiblich;40558
2010/11;Gymnasien (G8);Insgesamt;weiblich;50544
2010/11;Schularten mit drei Bildungsgängen;Ohne Ersten Schulabschluss;weiblich;1170
2010/11;Schularten mit drei Bildungsgängen;Erster Schulabschluss;weiblich;8032
2010/11;Schularten mit drei Bildungsgängen;Mittlerer Schulabschluss;weiblich;16977
2010/11;Schularten mit drei Bildungsgängen;Fachhochschulreife;weiblich;1312
2010/11;Schularten mit drei Bildungsgängen;Allgemeine Hochschulreife;weiblich;11968
2010/11;Schularten mit drei Bildungsgängen;Insgesamt;weiblich;39459
2010/11;Freie Waldorfschulen;Ohne Ersten Schulabschluss;weiblich;90
2010/11;Freie Waldorfschulen;Erster Schulabschluss;weiblich;188
2010/11;Freie Waldorfschulen;Mittlerer Schulabschluss;weiblich;880
2010/11;Freie Waldorfschulen;Fachhochschulreife;weiblich;224
2010/11;Freie Waldorfschulen;Allgemeine Hochschulreife;weiblich;1627
2010/11;Freie Waldorfschulen;Insgesamt;weiblich;3009
2010/11;Förderschulen;Ohne Ersten Schulabschluss;weiblich;11317
2010/11;Förderschulen;Erster Schulabschluss;weiblich;2983
2010/11;Förderschulen;Mittlerer Schulabschluss;weiblich;349
2010/11;Förderschulen;Fachhochschulreife;weiblich;2
2010/11;Förderschulen;Allgemeine Hochschulreife;weiblich;35
2010/11;Förderschulen;Insgesamt;weiblich;14686
2010/11;Abendhauptschulen;Ohne Ersten Schulabschluss;weiblich;0
2010/11;Abendhauptschulen;Erster Schulabschluss;weiblich;220
2010/11;Abendhauptschulen;Mittlerer Schulabschluss;weiblich;0
2010/11;Abendhauptschulen;Fachhochschulreife;weiblich;0
2010/11;Abendhauptschulen;Allgemeine Hochschulreife;weiblich;0
2010/11;Abendhauptschulen;Insgesamt;weiblich;220
2010/11;Abendrealschulen;Ohne Ersten Schulabschluss;weiblich;0
2010/11;Abendrealschulen;Erster Schulabschluss;weiblich;848
2010/11;Abendrealschulen;Mittlerer Schulabschluss;weiblich;2318
2010/11;Abendrealschulen;Fachhochschulreife;weiblich;2
2010/11;Abendrealschulen;Allgemeine Hochschulreife;weiblich;0
2010/11;Abendrealschulen;Insgesamt;weiblich;3168
2010/11;Abendgymnasien;Ohne Ersten Schulabschluss;weiblich;0
2010/11;Abendgymnasien;Erster Schulabschluss;weiblich;1
2010/11;Abendgymnasien;Mittlerer Schulabschluss;weiblich;59
2010/11;Abendgymnasien;Fachhochschulreife;weiblich;506
2010/11;Abendgymnasien;Allgemeine Hochschulreife;weiblich;1413
2010/11;Abendgymnasien;Insgesamt;weiblich;1979
2010/11;Kollegs;Ohne Ersten Schulabschluss;weiblich;0
2010/11;Kollegs;Erster Schulabschluss;weiblich;5
2010/11;Kollegs;Mittlerer Schulabschluss;weiblich;118
2010/11;Kollegs;Fachhochschulreife;weiblich;465
2010/11;Kollegs;Allgemeine Hochschulreife;weiblich;1555
2010/11;Kollegs;Insgesamt;weiblich;2143
