Zeit,Abschlussart,Geschlecht,Anzahl
2009/10,Alle,Insgesamt,306974
2010/11,Alle,Insgesamt,305072
2011/12,Alle,Insgesamt,301665
2012/13,Alle,Insgesamt,289993
2013/14,Alle,Insgesamt,262787
2014/15,Alle,Insgesamt,261947
2015/16,Alle,Insgesamt,265040
2016/17,Alle,Insgesamt,264961
2017/18,Alle,Insgesamt,267120
2018/19,Alle,Insgesamt,254124
2019/20,Alle,Insgesamt,251232
2020/21,Alle,Insgesamt,239244
2021/22,Alle,Insgesamt,230194
2022/23,Alle,Insgesamt,222742
