Tag von Date;Cat Value - Aliasse;Category;Fit;Maximum (Fit);Minimum (Fit);Tooltip_Cat_Value;Tooltip_Category;Fit
8. September 2022;total;gesamt;37,285882710;45,61;36,49;;the total population;37,285882710
15. September 2022;total;gesamt;37,238290881;45,61;36,49;;the total population;37,238290881
22. September 2022;total;gesamt;37,193109764;45,61;36,49;;the total population;37,193109764
29. September 2022;total;gesamt;37,149777986;45,61;36,49;;the total population;37,149777986
6. Oktober 2022;total;gesamt;37,107828262;45,61;36,49;;the total population;37,107828262
13. Oktober 2022;total;gesamt;37,066909559;45,61;36,49;;the total population;37,066909559
20. Oktober 2022;total;gesamt;37,026800743;45,61;36,49;;the total population;37,026800743
27. Oktober 2022;total;gesamt;36,987415922;45,61;36,49;;the total population;36,987415922
3. November 2022;total;gesamt;36,948802321;45,61;36,49;;the total population;36,948802321
10. November 2022;total;gesamt;36,911131689;45,61;36,49;;the total population;36,911131689
17. November 2022;total;gesamt;36,874686078;45,61;36,49;;the total population;36,874686078
24. November 2022;total;gesamt;36,839838563;45,61;36,49;;the total population;36,839838563
1. Dezember 2022;total;gesamt;36,807029314;45,61;36,49;;the total population;36,807029314
8. Dezember 2022;total;gesamt;36,776737568;45,61;36,49;;the total population;36,776737568
15. Dezember 2022;total;gesamt;36,749450550;45,61;36,49;;the total population;36,749450550
22. Dezember 2022;total;gesamt;36,725631086;45,61;36,49;;the total population;36,725631086
29. Dezember 2022;total;gesamt;36,705686315;45,61;36,49;;the total population;36,705686315
5. Januar 2023;total;gesamt;36,689940304;45,61;36,49;;the total population;36,689940304
12. Januar 2023;total;gesamt;36,678613125;45,61;36,49;;the total population;36,678613125
19. Januar 2023;total;gesamt;36,671808229;45,61;36,49;;the total population;36,671808229
26. Januar 2023;total;gesamt;36,669508706;45,61;36,49;;the total population;36,669508706
2. Februar 2023;total;gesamt;36,671581776;45,61;36,49;;the total population;36,671581776
9. Februar 2023;total;gesamt;36,677789787;45,61;36,49;;the total population;36,677789787
16. Februar 2023;total;gesamt;36,687805482;45,61;36,49;;the total population;36,687805482
23. Februar 2023;total;gesamt;36,701229296;45,61;36,49;;the total population;36,701229296
2. März 2023;total;gesamt;36,717606923;45,61;36,49;;the total population;36,717606923
9. März 2023;total;gesamt;36,736446092;45,61;36,49;;the total population;36,736446092
16. März 2023;total;gesamt;36,757232214;45,61;36,49;;the total population;36,757232214
23. März 2023;total;gesamt;36,779443054;45,61;36,49;;the total population;36,779443054
30. März 2023;total;gesamt;36,802562856;45,61;36,49;;the total population;36,802562856
6. April 2023;total;gesamt;36,826096213;45,61;36,49;;the total population;36,826096213
13. April 2023;total;gesamt;36,849581663;45,61;36,49;;the total population;36,849581663
20. April 2023;total;gesamt;36,872604477;45,61;36,49;;the total population;36,872604477
27. April 2023;total;gesamt;36,894807592;45,61;36,49;;the total population;36,894807592
4. Mai 2023;total;gesamt;36,915899290;45,61;36,49;;the total population;36,915899290
11. Mai 2023;total;gesamt;36,935656116;45,61;36,49;;the total population;36,935656116
18. Mai 2023;total;gesamt;36,953919835;45,61;36,49;;the total population;36,953919835
25. Mai 2023;total;gesamt;36,970587882;45,61;36,49;;the total population;36,970587882
1. Juni 2023;total;gesamt;36,985597820;45,61;36,49;;the total population;36,985597820
8. Juni 2023;total;gesamt;36,998907611;45,61;36,49;;the total population;36,998907611
15. Juni 2023;total;gesamt;37,010474697;45,61;36,49;;the total population;37,010474697
22. Juni 2023;total;gesamt;37,020237826;45,61;36,49;;the total population;37,020237826
29. Juni 2023;total;gesamt;37,028105753;45,61;36,49;;the total population;37,028105753
6. Juli 2023;total;gesamt;37,033956241;45,61;36,49;;the total population;37,033956241
13. Juli 2023;total;gesamt;37,037647098;45,61;36,49;;the total population;37,037647098
20. Juli 2023;total;gesamt;37,039038687;45,61;36,49;;the total population;37,039038687
27. Juli 2023;total;gesamt;37,038024814;45,61;36,49;;the total population;37,038024814
3. August 2023;total;gesamt;37,034567038;45,61;36,49;;the total population;37,034567038
10. August 2023;total;gesamt;37,028726571;45,61;36,49;;the total population;37,028726571
17. August 2023;total;gesamt;37,020688427;45,61;36,49;;the total population;37,020688427
24. August 2023;total;gesamt;37,010774030;45,61;36,49;;the total population;37,010774030
31. August 2023;total;gesamt;36,999440712;45,61;36,49;;the total population;36,999440712
7. September 2023;total;gesamt;36,987268697;45,61;36,49;;the total population;36,987268697
14. September 2023;total;gesamt;36,974937966;45,61;36,49;;the total population;36,974937966
21. September 2023;total;gesamt;36,963198419;45,61;36,49;;the total population;36,963198419
28. September 2023;total;gesamt;36,952837024;45,61;36,49;;the total population;36,952837024
5. Oktober 2023;total;gesamt;36,944645301;45,61;36,49;;the total population;36,944645301
12. Oktober 2023;total;gesamt;36,939389668;45,61;36,49;;the total population;36,939389668
19. Oktober 2023;total;gesamt;36,937786151;45,61;36,49;;the total population;36,937786151
26. Oktober 2023;total;gesamt;36,940479954;45,61;36,49;;the total population;36,940479954
2. November 2023;total;gesamt;36,948029554;45,61;36,49;;the total population;36,948029554
9. November 2023;total;gesamt;36,960894406;45,61;36,49;;the total population;36,960894406
16. November 2023;total;gesamt;36,979425215;45,61;36,49;;the total population;36,979425215
23. November 2023;total;gesamt;37,003855819;45,61;36,49;;the total population;37,003855819
30. November 2023;total;gesamt;37,034296158;45,61;36,49;;the total population;37,034296158
7. Dezember 2023;total;gesamt;37,070726282;45,61;36,49;;the total population;37,070726282
14. Dezember 2023;total;gesamt;37,112991796;45,61;36,49;;the total population;37,112991796
21. Dezember 2023;total;gesamt;37,160801488;45,61;36,49;;the total population;37,160801488
28. Dezember 2023;total;gesamt;37,213727941;45,61;36,49;;the total population;37,213727941
4. Januar 2024;total;gesamt;37,271226753;45,61;36,49;;the total population;37,271226753
11. Januar 2024;total;gesamt;37,332701751;45,61;36,49;;the total population;37,332701751
18. Januar 2024;total;gesamt;37,397510013;45,61;36,49;;the total population;37,397510013
25. Januar 2024;total;gesamt;37,464927468;45,61;36,49;;the total population;37,464927468
1. Februar 2024;total;gesamt;37,534160616;45,61;36,49;;the total population;37,534160616
8. Februar 2024;total;gesamt;37,604374181;45,61;36,49;;the total population;37,604374181
15. Februar 2024;total;gesamt;37,674721069;45,61;36,49;;the total population;37,674721069
22. Februar 2024;total;gesamt;37,744364239;45,61;36,49;;the total population;37,744364239
29. Februar 2024;total;gesamt;37,812464357;45,61;36,49;;the total population;37,812464357
7. März 2024;total;gesamt;37,878176663;45,61;36,49;;the total population;37,878176663
14. März 2024;total;gesamt;37,940653864;45,61;36,49;;the total population;37,940653864
21. März 2024;total;gesamt;37,999050026;45,61;36,49;;the total population;37,999050026
28. März 2024;total;gesamt;38,052525131;45,61;36,49;;the total population;38,052525131
4. April 2024;total;gesamt;38,100249911;45,61;36,49;;the total population;38,100249911
11. April 2024;total;gesamt;38,141410594;45,61;36,49;;the total population;38,141410594
18. April 2024;total;gesamt;38,175213269;45,61;36,49;;the total population;38,175213269
