Tabelle: 13231-0003
Erwerbslosenquote: Deutschland, Monate, Geschlecht,;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Altersgruppen, Original- und bereinigte Daten;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Erwerbslosenstatistik nach dem ILO-Konzept;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Erwerbslosenquote (Prozent);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Originalwerte;;;;;;;;;;;;;;;;;;X13 JDemetra+  Trend;;;;;;;;;;;;;;;;;;BV4.1 Trend;;;;;;;;;;;;;;;;;
;;männlich;;;;;;weiblich;;;;;;Insgesamt;;;;;;männlich;;;;;;weiblich;;;;;;Insgesamt;;;;;;männlich;;;;;;weiblich;;;;;;Insgesamt;;;;;
;;15 bis unter 25 Jahre;;25 bis unter 75 Jahre;;Insgesamt;;15 bis unter 25 Jahre;;25 bis unter 75 Jahre;;Insgesamt;;15 bis unter 25 Jahre;;25 bis unter 75 Jahre;;Insgesamt;;15 bis unter 25 Jahre;;25 bis unter 75 Jahre;;Insgesamt;;15 bis unter 25 Jahre;;25 bis unter 75 Jahre;;Insgesamt;;15 bis unter 25 Jahre;;25 bis unter 75 Jahre;;Insgesamt;;15 bis unter 25 Jahre;;25 bis unter 75 Jahre;;Insgesamt;;15 bis unter 25 Jahre;;25 bis unter 75 Jahre;;Insgesamt;;15 bis unter 25 Jahre;;25 bis unter 75 Jahre;;Insgesamt;
;Mai;9,6;r;5,2;r;5,7;r;7,7;r;4,7;r;5,0;r;8,7;r;4,9;r;5,4;r;9,7;p;5,3;p;5,8;p;8,6;p;4,9;p;5,4;p;9,2;p;5,1;p;5,6;p;9,8;p;5,3;p;5,8;p;8,5;p;5,0;p;5,4;p;9,2;p;5,2;p;5,6;p
;Juni;11,6;r;5,1;r;5,8;r;8,7;r;4,9;r;5,3;r;10,3;r;5,0;r;5,6;r;9,6;p;5,2;p;5,7;p;8,4;p;4,9;p;5,3;p;9,1;p;5,1;p;5,5;p;9,8;p;5,2;p;5,8;p;8,5;p;4,9;p;5,3;p;9,1;p;5,1;p;5,6;p
;Juli;10,8;r;5,0;r;5,6;r;11,1;r;5,0;r;5,7;r;10,9;r;5,0;r;5,6;r;9,6;p;5,2;p;5,6;p;8,3;p;4,9;p;5,3;p;9,0;p;5,0;p;5,5;p;9,7;p;5,2;p;5,7;p;8,4;p;4,9;p;5,3;p;9,1;p;5,0;p;5,5;p
;August;10,7;r;5,0;r;5,7;r;10,0;r;4,9;r;5,5;r;10,4;r;5,0;r;5,6;r;9,6;p;5,1;p;5,6;p;8,1;p;4,8;p;5,2;p;8,9;p;5,0;p;5,4;p;9,5;p;5,1;p;5,6;p;8,2;p;4,8;p;5,2;p;8,9;p;5,0;p;5,4;p
;September;7,8;r;4,7;r;5,1;r;7,7;r;4,3;r;4,7;r;7,8;r;4,5;r;4,9;r;9,5;p;5,0;p;5,5;p;8,1;p;4,8;p;5,2;p;8,8;p;4,9;p;5,4;p;9,5;p;5,0;p;5,5;p;8,1;p;4,8;p;5,1;p;8,8;p;4,9;p;5,3;p
;Oktober;8,3;r;4,3;r;4,7;r;5,7;r;4,8;r;4,9;r;7,1;r;4,5;r;4,8;r;9,4;p;5,0;p;5,5;p;8,0;p;4,7;p;5,1;p;8,8;p;4,9;p;5,3;p;9,4;p;5,0;p;5,5;p;8,0;p;4,7;p;5,1;p;8,7;p;4,9;p;5,3;p
;November;8,3;r;4,6;r;5,0;r;8,7;r;4,8;r;5,2;r;8,5;r;4,7;r;5,1;r;9,4;p;4,9;p;5,4;p;8,0;p;4,6;p;5,0;p;8,7;p;4,8;p;5,2;p;9,3;p;4,9;p;5,4;p;7,9;p;4,7;p;5,1;p;8,7;p;4,8;p;5,2;p
;Dezember;8,4;r;5,0;r;5,4;r;6,8;r;4,5;r;4,7;r;7,7;r;4,7;r;5,1;r;9,3;p;4,9;p;5,4;p;8,0;p;4,6;p;4,9;p;8,7;p;4,7;p;5,2;p;9,3;p;4,9;p;5,4;p;7,9;p;4,7;p;5,0;p;8,6;p;4,8;p;5,2;p
2012;Januar;9,5;r;5,7;r;6,1;r;7,1;r;5,4;r;5,6;r;8,4;r;5,6;r;5,9;r;9,3;p;4,9;p;5,4;p;8,0;p;4,5;p;4,9;p;8,7;p;4,7;p;5,1;p;9,2;p;4,9;p;5,3;p;7,9;p;4,6;p;5,0;p;8,6;p;4,8;p;5,2;p
;Februar;9,7;r;5,4;r;5,9;r;8,9;r;4,6;r;5,1;r;9,3;r;5,1;r;5,5;r;9,3;p;4,9;p;5,4;p;8,0;p;4,5;p;4,9;p;8,7;p;4,7;p;5,1;p;9,2;p;4,8;p;5,3;p;7,8;p;4,6;p;5,0;p;8,6;p;4,7;p;5,2;p
