Tabelle: 13211-0003
Arbeitslose: Deutschland/Früheres Bundesgebiet/Neue Länder,;;;;;;;;;;
Jahre, Geschlecht und weitere Personengruppen;;;;;;;;;;
Arbeitsmarktstatistik der Bundesagentur für Arbeit;;;;;;;;;;;;;;;;;;;
;;Arbeitslose;;;;;;;;;;;;;;;;;
;;Insgesamt;;männlich;;weiblich;;Jugendliche unter 20 Jahre;;Jüngere unter 25 Jahre;;55 Jahre und älter;;Langzeitarbeitslose;;Schwerbehinderte;;Ausländer;
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
;2003;2753181;e;1594422;e;1158759;e;55038;e;328407;e;355173;e;872479;e;125195;e;467631;e
;2004;2782759;e;1607748;e;1175011;e;48391;e;322769;e;324283;e;983715;e;129488;e;468915;e
;2005;3246755;e;1746968;e;1499568;e;85497;e;411707;e;398208;e;990280;e;135396;e;582519;e
;2006;3007158;e;1567063;e;1440058;e;76324;e;346872;e;386115;e;1119940;e;135752;e;556634;e
;2007;2475528;e;1240862;e;1234625;e;57344;e;259883;e;309465;e;1142776;e;128162;e;474351;e
;2008;2138778;e;1085998;e;1052771;e;45825;e;216089;e;272916;e;866031;e;118760;e;426175;e
;2009;2314215;e;1262298;e;1051916;e;47153;e;255120;e;320497;e;761581;e;122040;e;453562;e
;2010;2227473;e;1205223;e;1022250;e;40773;e;223337;e;354103;e;783029;e;129246;e;432638;e
;2011;2026545;e;1070848;e;955697;e;35385;e;190739;e;360156;e;738253;e;133192;e;401216;e
;2012;1999918;e;1060659;e;939258;e;34890;e;193212;e;363855;e;717954;e;130540;e;407048;e
;2013;2080342;e;1117739;e;962604;e;35312;e;203235;e;385433;e;753949;e;133845;e;435690;e
;2014;2074553;e;1113058;e;961495;e;34831;e;196564;e;395938;e;771165;e;136712;e;458453;e
;2015;2020503;e;1092081;e;928421;e;34687;e;185525;e;392245;e;754130;e;135914;e;487098;e
;2016;1978672;e;1086323;e;892346;e;38059;e;189678;e;386914;e;726552;e;131454;e;540385;e
;2017;1894294;e;1040685;e;853605;e;35940;e;181958;e;374729;e;675159;e;126852;e;563171;e
;2018;1758627;e;965155;e;793471;e;32726;e;164451;e;359986;e;615510;e;123176;e;534939;e
;2019;1723059;e;955314;e;767742;e;32042;e;160682;e;358000;e;555477;e;122804;e;542778;e
;2020;2075003;e;1166970;e;908025;e;36771;e;202283;e;421461;e;628601;e;135826;e;677430;e
;2021;2006132;e;1110538;e;895587;e;32601;e;174823;e;445421;e;784713;e;138008;e;663055;e
;2022;1850626;e;998283;e;852339;e;34350;e;155641;e;425786;e;701030;e;130802;e;677851;e
;2023;1999881;e;1077034;e;922847;e;39527;e;175359;e;453564;e;697171;e;132682;e;796687;e
;2024;2142810;e;1171319;e;971492;e;44457;e;194335;e;491519;e;748196;e;140938;e;854737;e
Neue Länder;1991;1005745;e;437588;e;568157;e;44221;e;164780;e;-;;-;;-;;30820;e
;1992;1279297;e;492563;e;786734;e;33513;e;166994;e;-;;-;;-;;38979;e
;1993;1269676;e;484717;e;784959;e;25522;e;147691;e;88104;e;-;;-;;41352;e
;1994;1271781;e;476795;e;794986;e;22190;e;139696;e;137630;e;-;;-;;40569;e
;1995;1184838;e;467046;e;717792;e;22904;e;124577;e;180965;e;-;;-;;43482;e
;1996;1318622;e;582135;e;736487;e;28130;e;136622;e;245591;e;-;;-;;49368;e
;1997;1514435;e;687882;e;826553;e;35360;e;154485;e;294376;e;-;;-;;56781;e
;1998;1529095;e;720238;e;808857;e;36584;e;160188;e;309944;e;513343;e;39777;e;59783;e
;1999;1495779;e;711920;e;783859;e;34895;e;152656;e;318962;e;499345;e;42781;e;61970;e
;2000;1508707;e;741250;e;767457;e;37478;e;171494;e;283215;e;517620;e;43634;e;63744;e
;2001;1532064;e;776440;e;755624;e;36584;e;176533;e;244476;e;536868;e;43735;e;66237;e
;2002;1562953;e;814164;e;748789;e;36405;e;189934;e;204883;e;575823;e;39741;e;70505;e
;2003;1623614;e;851793;e;771821;e;29261;e;187728;e;176717;e;648931;e;42682;e;75335;e
;2004;1598522;e;840970;e;757552;e;26671;e;181612;e;158991;e;697230;e;44461;e;76165;e
;2005;1614154;e;856035;e;758071;e;38559;e;208425;e;183495;e;597809;e;45511;e;90283;e
;2006;1480146;e;770448;e;709672;e;32834;e;177034;e;182150;e;549893;e;48256;e;88516;e
;2007;1285058;e;652795;e;632230;e;25487;e;142714;e;164443;e;590250;e;50479;e;81578;e
;2008;1120175;e;577195;e;542980;e;20837;e;122500;e;154247;e;460509;e;47341;e;74352;e
;2009;1100777;e;600715;e;500061;e;18356;e;120819;e;175317;e;376551;e;46094;e;74664;e
;2010;1011492;e;554818;e;456673;e;14527;e;102211;e;177909;e;357339;e;46135;e;73606;e
;2011;949943;e;515513;e;434429;e;12391;e;88363;e;182433;e;329877;e;47162;e;72781;e
;2012;897209;e;489741;e;407468;e;11818;e;80932;e;180636;e;328681;e;45500;e;71141;e
;2013;869995;e;479367;e;390629;e;11211;e;73043;e;185303;e;315772;e;44787;e;72827;e
;2014;823835;e;452016;e;371819;e;10884;e;61737;e;184377;e;305586;e;44398;e;75207;e
;2015;774162;e;425130;e;349032;e;10987;e;53022;e;176246;e;285151;e;42896;e;81143;e
;2016;712303;e;396398;e;315905;e;12286;e;51490;e;162118;e;266520;e;39054;e;94641;e
;2017;638543;e;357423;e;281120;e;11900;e;48736;e;146067;e;225586;e;35522;e;98621;e
;2018;581455;e;326968;e;254486;e;11533;e;45891;e;136593;e;197899;e;33445;e;97358;e
;2019;543661;e;307573;e;236088;e;11227;e;44702;e;129157;e;171974;e;31892;e;100259;e
;2020;620441;e;353625;e;266813;e;12705;e;55078;e;141112;e;188148;e;33866;e;127179;e
;2021;607357;e;344006;e;263348;e;11848;e;51773;e;145463;e;242396;e;34476;e;128535;e
;2022;567507;e;314302;e;253202;e;11999;e;47828;e;137918;e;215334;e;32705;e;138943;e
;2023;608791;e;335376;e;273415;e;13912;e;53954;e;143993;e;209106;e;33044;e;170539;e
;2024;644302;e;358746;e;285556;e;15622;e;59277;e;150840;e;223785;e;34298;e;186171;e
__________
"Quelle: Bundesagentur für Arbeit, Nürnberg

Neue Länder: einschließlich Berlin.

Ab Januar 2005 sind die Daten über registrierte Arbeitslose
der Bundesagentur für Arbeit auf Grund der Zusammenlegung
von Arbeitslosen- und Sozialhilfe mit früheren Daten nicht
mehr vergleichbar. Beachten Sie bitte hierzu die
Informationen zur Arbeitsmarktstatistik der Bundesagentur
für Arbeit (Code: 13211)."
© Statistisches Bundesamt (Destatis), 2025
Stand: 26.09.2025 / 11:53:14
