Jahr;Geschlecht;Abschlussart;Anzahl
2017;Gesamt;Hauptschulabschluss;42428
2017;Männlich;Hauptschulabschluss;28956
2017;Weiblich;Hauptschulabschluss;13472
2017;Gesamt;Mittlererschulabschluss;69098
2017;Männlich;Mittlererschulabschluss;35699
2017;Weiblich;Mittlererschulabschluss;33399
2017;Gesamt;Fachhochschulreife;94894
2017;Männlich;Fachhochschulreife;49104
2017;Weiblich;Fachhochschulreife;45790
2017;Gesamt;Hochschulreife;58541
2017;Männlich;Hochschulreife;26506
2017;Weiblich;Hochschulreife;32035
2017;Gesamt;zus-erw_Fachhochsreife;25719
2017;Männlich;zus_erw_Fachhochsreife;13100
2017;Weiblich;zus_erw_Fachhochsreife;12619
2018;Gesamt;Alle;267120
2018;Männlich;Alle;143238
2018;Weiblich;Alle;123882
2018;Gesamt;Hauptschulabschluss;51813
2018;Männlich;Hauptschulabschluss;35739
2018;Weiblich;Hauptschulabschluss;16074
2018;Gesamt;Mittlererschulabschluss;65526
2018;Männlich;Mittlererschulabschluss;33945
2018;Weiblich;Mittlererschulabschluss;31581
2018;Gesamt;Fachhochschulreife;93039
2018;Männlich;Fachhochschulreife;47985
2018;Weiblich;Fachhochschulreife;45054
2018;Gesamt;Hochschulreife;56742
2018;Männlich;Hochschulreife;25569
2018;Weiblich;Hochschulreife;31173
2018;Gesamt;zus-erw_Fachhochsreife;26097
2018;Männlich;zus_erw_Fachhochsreife;13179
2018;Weiblich;zus_erw_Fachhochsreife;12918
2019;Gesamt;Alle;254124
2019;Männlich;Alle;132570
2019;Weiblich;Alle;121554
2019;Gesamt;Hauptschulabschluss;48168
2019;Männlich;Hauptschulabschluss;30801
2019;Weiblich;Hauptschulabschluss;17367
2019;Gesamt;Mittlererschulabschluss;64173
2019;Männlich;Mittlererschulabschluss;33153
2019;Weiblich;Mittlererschulabschluss;31020
2019;Gesamt;Fachhochschulreife;86934
2019;Männlich;Fachhochschulreife;44163
2019;Weiblich;Fachhochschulreife;42771
2019;Gesamt;Hochschulreife;54849
2019;Männlich;Hochschulreife;24453
2019;Weiblich;Hochschulreife;30396
2019;Gesamt;zus-erw_Fachhochsreife;24723
2019;Männlich;zus_erw_Fachhochsreife;12720
2019;Weiblich;zus_erw_Fachhochsreife;12003
2020;Gesamt;Alle;251232
2020;Männlich;Alle;130950
2020;Weiblich;Alle;120282
2020;Gesamt;Hauptschulabschluss;48174
2020;Männlich;Hauptschulabschluss;30225
2020;Weiblich;Hauptschulabschluss;17949
2020;Gesamt;Mittlererschulabschluss;68715
2020;Männlich;Mittlererschulabschluss;35718
2020;Weiblich;Mittlererschulabschluss;32997
2020;Gesamt;Fachhochschulreife;81423
2020;Männlich;Fachhochschulreife;41289
2020;Weiblich;Fachhochschulreife;40134
2020;Gesamt;Hochschulreife;52923
2020;Männlich;Hochschulreife;23724
2020;Weiblich;Hochschulreife;29199
2020;Gesamt;zus-erw_Fachhochsreife;25023
2020;Männlich;zus_erw_Fachhochsreife;12843
2020;Weiblich;zus_erw_Fachhochsreife;12180
2021;Gesamt;Alle;239244
2021;Männlich;Alle;123310
2021;Weiblich;Alle;115934
2021;Gesamt;Hauptschulabschluss;42360
2021;Männlich;Hauptschulabschluss;26325
2021;Weiblich;Hauptschulabschluss;16035
2021;Gesamt;Mittlererschulabschluss;67072
2021;Männlich;Mittlererschulabschluss;34694
2021;Weiblich;Mittlererschulabschluss;32378
2021;Gesamt;Fachhochschulreife;79153
2021;Männlich;Fachhochschulreife;39888
2021;Weiblich;Fachhochschulreife;39265
2021;Gesamt;Hochschulreife;50654
2021;Männlich;Hochschulreife;22398
2021;Weiblich;Hochschulreife;28256
2021;Gesamt;zus-erw_Fachhochsreife;24273
2021;Männlich;zus_erw_Fachhochsreife;12397
2021;Weiblich;zus_erw_Fachhochsreife;11876
2022;Gesamt;Alle;230194
2022;Männlich;Alle;118549
2022;Weiblich;Alle;111645
2022;Gesamt;Hauptschulabschluss;38896
2022;Männlich;Hauptschulabschluss;23751
2022;Weiblich;Hauptschulabschluss;15145
2022;Gesamt;Mittlererschulabschluss;65812
2022;Männlich;Mittlererschulabschluss;34824
2022;Weiblich;Mittlererschulabschluss;30988
2022;Gesamt;Fachhochschulreife;76647
2022;Männlich;Fachhochschulreife;38772
2022;Weiblich;Fachhochschulreife;37875
2022;Gesamt;Hochschulreife;48834
2022;Männlich;Hochschulreife;21200
2022;Weiblich;Hochschulreife;27634
2022;Gesamt;zus-erw_Fachhochsreife;22250
2022;Männlich;zus_erw_Fachhochsreife;11409
2022;Weiblich;zus_erw_Fachhochsreife;10841
2023;Gesamt;Alle;222742
2023;Männlich;Alle;114428
2023;Weiblich;Alle;108314
2023;Gesamt;Hauptschulabschluss;41403
2023;Männlich;Hauptschulabschluss;24791
2023;Weiblich;Hauptschulabschluss;16612
2023;Gesamt;Mittlererschulabschluss;60583
2023;Männlich;Mittlererschulabschluss;32409
2023;Weiblich;Mittlererschulabschluss;28174
2023;Gesamt;Fachhochschulreife;72348
2023;Männlich;Fachhochschulreife;36068
2023;Weiblich;Fachhochschulreife;36280
2023;Gesamt;Hochschulreife;48403
2023;Männlich;Hochschulreife;21155
2023;Weiblich;Hochschulreife;27248
2023;Gesamt;zus-erw_Fachhochsreife;21475
2023;Männlich;zus_erw_Fachhochsreife;11259
2023;Weiblich;zus_erw_Fachhochsreife;10216
